cluster_id,cluster_name,tree_leaf_id,zone_count,zones_with_target,mean_residualized_tip_rate,mean_raw_longrun_tip_rate,representative_zones
1,Recreation / open-space zone,1,6,6,-0.00123538577759235,0.15229604926317905,Astoria Park; Battery Park; Crotona Park
1,Recreation / open-space zone,2,2,2,0.01933253022486945,0.10654263031543496,Highbridge Park; Inwood Hill Park
1,Recreation / open-space zone,3,1,1,0.0058498435092819,0.0834179250296447,Bronx Park
1,Recreation / open-space zone,4,1,1,0.0120500800568573,0.0906430635412059,Freshkills Park
1,Recreation / open-space zone,5,6,5,0.040434599440628535,0.09845614804748563,Jamaica Bay; Breezy Point/Fort Tilden/Riis Beach; Fresh Meadows
2,Dense mixed-use neighborhood,1,50,50,-0.0005070600144209279,0.22296352730820054,Alphabet City; Battery Park City; Bloomingdale
3,Housing-pressure residential zone,1,31,31,-0.006226163781899965,0.0468143571078641,Bedford; Belmont; Borough Park
3,Housing-pressure residential zone,2,10,10,0.0023234924431295217,0.02655587927104893,Brownsville; East New York; East New York/Pennsylvania Avenue
3,Housing-pressure residential zone,3,8,8,0.012992721341302136,0.007255798991655412,Bedford Park; Brighton Beach; Bronxdale
3,Housing-pressure residential zone,4,1,1,0.0111968007700198,0.0027110796259442,Williamsbridge/Olinville
3,Housing-pressure residential zone,5,1,1,0.0031528843126668,0.0688659828956332,Pelham Bay Park
4,CBD-accessible business core,1,18,18,-0.0032896867424235,0.24417733377720893,Downtown Brooklyn/MetroTech; Financial District North; Financial District South
5,Outer-borough residential zone,1,39,39,-0.008223388524481507,0.08069963820089789,Arrochar/Fort Wadsworth; Astoria; Bay Ridge
5,Outer-borough residential zone,2,13,13,0.000875376542773223,0.018713255357765437,Bath Beach; Bensonhurst East; Canarsie
5,Outer-borough residential zone,3,19,19,0.0030313441008412738,0.03990617284884064,Allerton/Pelham Gardens; Auburndale; Briarwood/Jamaica Hills
5,Outer-borough residential zone,4,20,20,0.01230401759766396,0.03949807625055157,Baisley Park; Bayside; Bloomfield/Emerson Hill
5,Outer-borough residential zone,5,16,16,0.024002450114244636,0.04826642121119674,Arden Heights; Bay Terrace/Fort Totten; Bellerose
6,Industrial / logistics zone,1,15,15,-0.007705166380539905,0.12978727257854647,East Williamsburg; Gowanus; Greenpoint
