LocationID,Zone,Borough,service_zone,is_airport_zone,cluster_status,cluster_id,cluster_name,typology_version,pickup_raw_longrun_tip_rate,pickup_residualized_tip_rate,pickup_tree_leaf_id,dropoff_raw_longrun_tip_rate,dropoff_residualized_tip_rate,dropoff_tree_leaf_id
1,Newark Airport,EWR,EWR,True,airport_special,7,Airport special zone,0426_kmeans6_airport_special,0.1189358501969674,-4.5046445878140084e-14,,0.1887024997648413,-1.631208944206699e-15,
2,Jamaica Bay,Queens,Boro Zone,False,clustered,1,Recreation / open-space zone,0426_kmeans6_airport_special,0.1983254780984274,0.1201270464139069,5,0.1817892994352274,0.0316222236173364,5
3,Allerton/Pelham Gardens,Bronx,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0066177153365692,0.0120487725319833,3,0.0863995311333497,0.0111298584710426,4
4,Alphabet City,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special,0.2213372873663632,0.0023680910500534,1,0.2341771437177598,-0.0090651915566729,2
5,Arden Heights,Staten Island,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0106583673645299,0.0321835726927701,5,0.07514284051847,0.0202945373221122,5
6,Arrochar/Fort Wadsworth,Staten Island,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.1594532048501163,-0.0222603875030714,1,0.1981070764496494,0.0009223480865979,4
7,Astoria,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.154826278302192,-0.0333939707370335,1,0.2164814977794258,0.0019777696790525,4
8,Astoria Park,Queens,Boro Zone,False,clustered,1,Recreation / open-space zone,0426_kmeans6_airport_special,0.1800513328876503,-0.0029667849178158,1,0.2059862681491503,0.011456190230627,2
9,Auburndale,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0394637639512764,0.0008362374210974,3,0.1615381997060765,0.0090895602905352,4
10,Baisley Park,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.1361303626560706,0.026972448010305,4,0.1883127664840032,0.0064627735104196,5
11,Bath Beach,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0156948152339051,0.0208171646830654,2,0.1044992531668662,0.011803553978159,4
12,Battery Park,Manhattan,Yellow Zone,False,clustered,1,Recreation / open-space zone,0426_kmeans6_airport_special,0.2203698888185112,-0.0161327462107207,1,0.2202505422748866,-0.013392193743005,2
13,Battery Park City,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special,0.2340555839361707,-0.0043562651315342,1,0.225682102679461,-0.0112449219010632,3
14,Bay Ridge,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0206087717240022,0.0182797379753091,1,0.1597490950021441,0.022726482594819,4
15,Bay Terrace/Fort Totten,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0245657912350458,0.0119797818552305,5,0.1673682212449744,0.0080591467376624,4
16,Bayside,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0225286335517521,0.0060399428561872,4,0.1603780371899239,0.0137035377708347,4
17,Bedford,Brooklyn,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special,0.032832529811196,-0.0120396452319437,1,0.1654774119209913,-0.0139962198980241,1
18,Bedford Park,Bronx,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special,0.0048858305959015,0.012799801258623,3,0.0660279983198082,0.00575127313411,4
19,Bellerose,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0346891256420874,0.0238284432029369,5,0.1253142507896376,0.0027916794077653,5
20,Belmont,Bronx,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special,0.0111171227694314,-0.0001877516451416,1,0.1221718286516518,0.003341644739576,1
21,Bensonhurst East,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.006668078236112,0.0061635767608458,2,0.0853997216917831,0.0019804746826674,4
22,Bensonhurst West,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special,0.0076433643444424,0.0059759483895923,1,0.0980780784522145,0.0012191201794888,4
