algorithm,k,silhouette_score,davies_bouldin_score,min_cluster_size,max_cluster_share,average_cluster_profile_contrast,chosen_for_0426_typology
Agglomerative,4,0.2700358493737088,1.2394284152809893,17,0.4591439688715953,1.1287891843070905,False
Agglomerative,5,0.28943606718231574,1.1518420547787642,14,0.4046692607003891,1.280701096926753,False
Agglomerative,6,0.2875711278801667,1.1489432619136164,14,0.4046692607003891,1.4843180415639816,False
Agglomerative,7,0.2730135063507071,1.1911620991994576,14,0.4046692607003891,1.442625050013108,False
Agglomerative,8,0.264241105992201,1.2437651168617538,14,0.4046692607003891,1.4722617412650987,False
KMeans,4,0.26717156056274094,1.3584538108280246,18,0.4708171206225681,1.3592046654411978,False
KMeans,5,0.2856656537172629,1.173117462313802,15,0.4669260700389105,1.4379357529244652,False
KMeans,6,0.3078981972832068,1.0950039897335662,15,0.4163424124513619,1.5043813706384477,True
KMeans,7,0.2917129018151482,1.245571461543856,15,0.4046692607003891,1.493194743788912,False
KMeans,8,0.25462171246286236,1.1707112173499894,14,0.3463035019455253,1.4037522503194666,False
