LocationID,Zone,Borough,service_zone,is_airport_zone,cluster_status,cluster_id,cluster_name,typology_version
1,Newark Airport,EWR,EWR,True,airport_special,7,Airport special zone,0426_kmeans6_airport_special
2,Jamaica Bay,Queens,Boro Zone,False,clustered,1,Recreation / open-space zone,0426_kmeans6_airport_special
3,Allerton/Pelham Gardens,Bronx,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
4,Alphabet City,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
5,Arden Heights,Staten Island,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
6,Arrochar/Fort Wadsworth,Staten Island,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
7,Astoria,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
8,Astoria Park,Queens,Boro Zone,False,clustered,1,Recreation / open-space zone,0426_kmeans6_airport_special
9,Auburndale,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
10,Baisley Park,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
11,Bath Beach,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
12,Battery Park,Manhattan,Yellow Zone,False,clustered,1,Recreation / open-space zone,0426_kmeans6_airport_special
13,Battery Park City,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
14,Bay Ridge,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
15,Bay Terrace/Fort Totten,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
16,Bayside,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
17,Bedford,Brooklyn,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
18,Bedford Park,Bronx,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
19,Bellerose,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
20,Belmont,Bronx,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
21,Bensonhurst East,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
22,Bensonhurst West,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
23,Bloomfield/Emerson Hill,Staten Island,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
24,Bloomingdale,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
25,Boerum Hill,Brooklyn,Boro Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
26,Borough Park,Brooklyn,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
27,Breezy Point/Fort Tilden/Riis Beach,Queens,Boro Zone,False,clustered,1,Recreation / open-space zone,0426_kmeans6_airport_special
28,Briarwood/Jamaica Hills,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
29,Brighton Beach,Brooklyn,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
30,Broad Channel,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
31,Bronx Park,Bronx,Boro Zone,False,clustered,1,Recreation / open-space zone,0426_kmeans6_airport_special
32,Bronxdale,Bronx,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
33,Brooklyn Heights,Brooklyn,Boro Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
34,Brooklyn Navy Yard,Brooklyn,Boro Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
35,Brownsville,Brooklyn,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
36,Bushwick North,Brooklyn,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
37,Bushwick South,Brooklyn,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
38,Cambria Heights,Queens,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
39,Canarsie,Brooklyn,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
40,Carroll Gardens,Brooklyn,Boro Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
41,Central Harlem,Manhattan,Boro Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
42,Central Harlem North,Manhattan,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
43,Central Park,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
44,Charleston/Tottenville,Staten Island,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
45,Chinatown,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
46,City Island,Bronx,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
47,Claremont/Bathgate,Bronx,Boro Zone,False,clustered,3,Housing-pressure residential zone,0426_kmeans6_airport_special
48,Clinton East,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
49,Clinton Hill,Brooklyn,Boro Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
50,Clinton West,Manhattan,Yellow Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
51,Co-Op City,Bronx,Boro Zone,False,clustered,5,Outer-borough residential zone,0426_kmeans6_airport_special
52,Cobble Hill,Brooklyn,Boro Zone,False,clustered,2,Dense mixed-use neighborhood,0426_kmeans6_airport_special
